{SSPDBusSpawn, x: 1875.845703125, y: 3689.763671875, z: 33.472183227539, hdg: 210.50375366211},
{SSPDCarSelect, x: 1872.2742919922, y: 3687.9868164063, z: 33.647342681885, hdg: 214.29414367676},
{SSPDCarSpawn, x: 1867.4221191406, y: 3696.6909179688, z: 33.587436676025, hdg: 210.85827636719},
{SSPDCarRepair, x: 1860.7631835938, y: 3707.2893066406, z: 33.354377746582, hdg: 31.628084182739},
{SSPDClockIn, x: 1857.4156494141, y: 3687.9780273438, z: 34.267036437988, hdg: 116.11254119873},
{SSPDClothing, x: 1851.2579345703, y: 3684.0654296875, z: 34.267036437988, hdg: 313.25994873047},
{SSPDWeap, x: 1849.9829101563, y: 3688.6264648438, z: 34.267036437988, hdg: 212.07885742188},
{SSPDMDT, x: 1853.1184082031, y: 3690.1166992188, z: 34.267036437988, hdg: 323.48944091797},
{GOHBankTeller, x: -2963.1938476563, y: 482.93469238281, z: 15.703092575073, hdg: 273.94430541992},
{GOHBankVault, x: -2957.4750976563, y: 480.82717895508, z: 15.706847190857, hdg: 354.9169921875},
{vehspawn, x: 530.68072509766, y: -169.94007873535, z: 54.908996582031, hdg: 180.43055725098},
{djhbskjvd, x: 533.78875732422, y: -183.14451599121, z: 53.891761779785, hdg: 93.942649841309},
